date,sessions,users,new_sessions,pageviews,pages_per_session,ave_session_duration,bounce_rate,scroll_videopromo,scroll_whatstoutbay,scroll_howitworks,scroll_faq,scroll_latestfeeds,chrome,safari,firefox,internet_explorer,windows,macintosh,ios,android
6/8/14,3,3,100.00,3,1,0:00:00,100.00,3,3,2,2,2,0,3,0,0,0,0,3,0
6/9/14,2,2,100.00,2,1,0:00:00,100.00,1,1,1,1,1,0,1,1,0,0,1,1,0
6/10/14,1,1,100.00,10,10,0:07:02,0.00,2,2,1,1,1,0,1,0,0,0,1,0,0
6/11/14,4,4,100.00,7,1.75,0:00:22,50.00,5,4,4,2,1,1,0,1,2,3,1,0,0
6/12/14,1,1,100.00,4,4,0:03:24,0.00,1,1,1,1,1,0,0,1,0,1,0,0,0
6/13/14,1,1,100.00,4,4,0:01:57,0.00,2,2,2,2,2,0,1,0,0,0,1,0,0
6/14/14,1,1,100.00,4,4,0:03:15,0.00,2,2,2,2,1,1,0,0,0,1,0,0,0
6/15/14,0,0,0.00,0,0,0:00:00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
6/16/14,1,1,100.00,1,1,0:00:00,100.00,1,0,0,0,0,0,1,0,0,0,1,0,0
6/17/14,2,2,50.00,2,1,0:00:00,100.00,2,1,1,1,1,2,0,0,0,1,1,0,0
6/18/14,3,3,100.00,4,1.33,0:00:06,66.67,1,1,1,1,0,1,1,0,0,0,3,0,0
6/19/14,3,3,100.00,11,3.67,0:03:39,66.67,5,2,2,2,2,2,0,1,0,1,0,0,1
6/20/14,1,1,0.00,2,2,0:03:15,0.00,1,1,1,1,1,0,0,1,0,1,0,0,0
6/21/14,2,2,50.00,2,1,0:00:00,100.00,1,1,0,0,0,2,0,0,0,0,0,0,1
6/22/14,2,2,100.00,2,1,0:00:00,100.00,1,0,0,0,0,2,0,0,0,1,0,0,0
6/23/14,5,5,80.00,7,1.4,0:00:12,60.00,2,1,1,1,1,2,0,1,2,4,1,0,0
6/24/14,5,5,80.00,6,1.2,0:00:05,80.00,6,5,5,4,2,2,1,2,0,3,0,1,1
6/25/14,1,1,100.00,1,1,0:00:00,100.00,0,0,0,0,0,1,0,0,0,0,1,0,0
6/26/14,1,1,100.00,4,4,0:04:54,0.00,1,1,0,0,0,1,0,0,0,1,0,0,0
6/27/14,3,3,66.67,6,2,0:03:22,33.33,3,3,3,3,2,2,0,1,0,2,1,0,0
